date,time,1:t_gpu,1:gpc_clk,1:slowdown,1:clk_mem,1:gpc_util,1:fb_util,1:p_state,1:pwr_tgp,1:NVVDD,1:NVVDDS,1:?,1:fan_rpm,1:pcie_gpu_width,1:pcie_gpu_L0s,1:pcie_gpu_L1,1:pcie_gpu_speed,1:pcie_root_width,1:pcie_root_L0s,1:pcie_root_L1,1:pcie_root_speed,1:GPU_CE,1:GPU_NF,1:GPU_FE,1:GPU_UR,1:ROOT_CE,1:ROOT_NF,1:ROOT_FE,1:ROOT_UR,1:Total_Time_GC6,1:Total_Time_Enter_GC6,1:Total_Time_Exit_GC6,1:GC6_Transition_Count,1:Not_Enter_GC6_Reason,1:?,1:thml_cap,1:pwr_cap,1:volt_cap,1:pstate_cap,1:cpu_pstate,1:cpu_cap,1:cpu_temp
2019/11/27,14:48:20,51.8438,1770,100%,4001,92,32,0,48702,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P1,P0,57
2019/11/27,14:48:21,52.5,1740,101%,4001,94,32,0,49967,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P1,P0,55
2019/11/27,14:48:22,52.8438,1740,100%,4001,97,34,0,46689,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P1,P0,52
2019/11/27,14:48:23,53.25,1770,97%,4001,99,34,0,48845,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P1,P0,52
2019/11/27,14:48:24,54.2188,1740,99%,4001,97,33,0,48018,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P1,P0,53
2019/11/27,14:48:25,54.3438,1740,99%,4001,99,32,0,50945,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P1,P0,55
2019/11/27,14:48:26,54.9063,1740,99%,4001,99,33,0,50860,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P1,P0,56
2019/11/27,14:48:27,54.9688,1770,98%,4001,99,33,0,48324,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P1,P0,53
2019/11/27,14:48:28,55.5938,1770,98%,4001,98,33,0,50909,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P1,P0,53
2019/11/27,14:48:29,55.9688,1770,99%,4001,97,32,0,51451,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P1,P0,54
2019/11/27,14:48:30,56.1563,1770,99%,4001,95,31,0,49517,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P1,P0,54
2019/11/27,14:48:31,56.3125,1785,99%,4001,95,31,0,51944,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P1,P0,64
2019/11/27,14:48:32,56.8125,1785,99%,4001,96,27,0,50354,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P0,P0,60
2019/11/27,14:48:33,56.625,1785,99%,4001,98,27,0,48618,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P0,P0,60
2019/11/27,14:48:34,57.2188,1770,100%,4001,98,27,0,51252,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P0,P0,70
2019/11/27,14:48:35,57.125,1770,99%,4001,97,28,0,46738,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P0,P0,62
2019/11/27,14:48:36,57.4375,1740,101%,4001,96,28,0,50247,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P0,P0,62
2019/11/27,14:48:37,57.2188,1755,100%,4001,96,31,0,49631,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P0,P0,62
2019/11/27,14:48:38,57.4688,1755,99%,4001,97,34,0,49814,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P0,P0,63
2019/11/27,14:48:39,57.7813,1755,99%,4001,99,34,0,49393,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P0,P0,65
2019/11/27,14:48:40,57.5938,1755,99%,4001,99,34,0,49757,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P0,P0,66
2019/11/27,14:48:41,57.9063,1740,100%,4001,99,34,0,53618,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P0,P0,67
2019/11/27,14:48:42,57.6875,1710,99%,4001,98,38,0,47220,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P0,P0,65
2019/11/27,14:48:43,58.0938,1710,100%,4001,98,38,0,51184,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P0,P0,67
2019/11/27,14:48:44,58,1725,99%,4001,98,38,0,48644,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P0,P0,66
2019/11/27,14:48:45,58.2813,1710,99%,4001,99,39,0,50888,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P0,P0,68
2019/11/27,14:48:46,58.3125,1695,100%,4001,98,39,0,53188,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P0,P0,66
2019/11/27,14:48:47,58.3438,1725,99%,4001,98,39,0,49047,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P0,P0,67
2019/11/27,14:48:48,58.4688,1725,100%,4001,97,39,0,50707,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P0,P0,67
2019/11/27,14:48:49,58.3125,1725,100%,4001,98,39,0,50788,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P0,P0,66
2019/11/27,14:48:50,58.375,1725,100%,4001,98,39,0,48890,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P0,P0,69
