date,time,1:t_gpu,1:gpc_clk,1:slowdown,1:clk_mem,1:gpc_util,1:fb_util,1:p_state,1:pwr_tgp,1:pwr_nvvdd,1:pwr_fbvdd,1:NVVDD,1:pcie_gpu_width,1:pcie_gpu_L0s,1:pcie_gpu_L1,1:pcie_gpu_speed,1:pcie_root_width,1:pcie_root_L0s,1:pcie_root_L1,1:pcie_root_speed,1:GPU_CE,1:GPU_NF,1:GPU_FE,1:GPU_UR,1:ROOT_CE,1:ROOT_NF,1:ROOT_FE,1:ROOT_UR,1:pcie_bw_TX,1:pcie_bw_RX,1:Total_Time_GC6,1:Total_Time_Enter_GC6,1:Total_Time_Exit_GC6,1:GC6_Transition_Count,1:Not_Enter_GC6_Reason,1:d_notifier_limit,1:thml_cap,1:pwr_cap,1:volt_cap,1:pstate_cap,1:cpu_pstate,1:cpu_cap,1:cpu_temp
2022/09/06,17:22:45,70.875,1500,100 %,9000,99,60,0,149203,80943,62760,0.812500,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,75
2022/09/06,17:22:46,70.7813,1485,100 %,9000,100,62,0,149577,81691,62386,0.793750,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,90
2022/09/06,17:22:47,70.5313,1530,100 %,9000,100,68,0,149336,80700,63136,0.800000,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,96
2022/09/06,17:22:48,71.25,1485,100 %,9000,99,62,0,149774,80686,63588,0.787500,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,87
2022/09/06,17:22:49,71.1563,1485,100 %,9000,99,61,0,149551,81043,63008,0.787500,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,88
2022/09/06,17:22:50,70.9688,1560,100 %,9000,99,67,0,149032,79860,63672,0.818750,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,96
2022/09/06,17:22:51,71.7813,1515,100 %,9000,99,60,0,150071,81417,63154,0.781250,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,74
2022/09/06,17:22:52,71.0938,1575,100 %,9000,99,61,0,149194,81174,62520,0.812500,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,90
2022/09/06,17:22:53,71.5313,1455,100 %,9000,100,68,0,149539,80176,63863,0.775000,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,96
2022/09/06,17:22:54,71.7813,1575,100 %,9000,99,62,0,149409,80540,63369,0.800000,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,71
2022/09/06,17:22:55,71.625,1500,100 %,9000,100,62,0,149762,81413,62849,0.775000,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,94
2022/09/06,17:22:56,71.625,1425,100 %,9000,99,68,0,149395,79829,64066,0.775000,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,96
2022/09/06,17:22:57,71.625,1575,100 %,9000,99,60,0,149256,80576,63180,0.818750,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,69
2022/09/06,17:22:58,71.7188,1545,100 %,9000,99,61,0,149613,81247,62866,0.812500,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,96
2022/09/06,17:22:59,71.8125,1455,100 %,9000,99,68,0,149518,80257,63761,0.775000,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,96
2022/09/06,17:23:00,71.875,1485,100 %,9000,100,62,0,149317,80653,63164,0.800000,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,68
2022/09/06,17:23:01,71.6875,1560,100 %,9000,99,61,0,149401,81309,62592,0.818750,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,96
2022/09/06,17:23:02,72.125,1575,100 %,9000,99,67,0,149454,80536,63418,0.806250,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,76
2022/09/06,17:23:04,72.0938,1500,100 %,9000,99,59,0,149286,81141,62645,0.800000,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,68
2022/09/06,17:23:05,72.1875,1545,100 %,9000,99,59,0,149588,81681,62407,0.812500,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,99
2022/09/06,17:23:06,72.2188,1395,100 %,9000,99,63,0,149472,80511,63461,0.768750,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,71
2022/09/06,17:23:07,71.9688,1470,100 %,9000,99,61,0,149308,80972,62836,0.775000,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,95
2022/09/06,17:23:08,72.0938,1470,100 %,9000,99,60,0,149230,81058,62672,0.793750,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,95
2022/09/06,17:23:09,71.5,1590,100 %,9000,99,64,0,109948,57264,47184,0.743750,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,66
2022/09/06,17:23:10,67.3125,405,100 %,6000,99,46,3,93125,46828,40797,0.618750,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,68
2022/09/06,17:23:11,67,525,100 %,6000,97,40,0,91394,45921,39973,0.800000,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,64
2022/09/06,17:23:12,69.8438,1530,100 %,9000,100,63,0,120730,63797,51433,0.793750,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,64
2022/09/06,17:23:14,67.9688,1620,100 %,9000,99,33,0,103446,53399,44547,0.737500,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,63
2022/09/06,17:23:15,65.625,1740,100 %,9000,99,34,0,110851,57734,47617,0.737500,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,62
2022/09/06,17:23:16,65.5,600,100 %,6000,99,58,3,108137,54690,47947,0.618750,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,62
2022/09/06,17:23:17,64.8125,645,100 %,6000,99,57,3,100710,50981,44229,0.618750,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,63
2022/09/06,17:23:18,64.5938,600,100 %,6000,99,61,3,104581,54546,44535,0.631250,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D2(60000mW),0,0,0,N/A,N/A,P0,62
2022/09/06,17:23:20,64.1875,510,100 %,6000,99,28,3,102843,52684,44659,0.618750,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D1 - Unlimited,0,0,0,N/A,N/A,P0,62
2022/09/06,17:23:21,64.0313,510,100 %,6000,100,29,3,102779,52488,44791,0.618750,16,0,1,4,16,0,1,4,0,0,0,0,0,0,0,0,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,D2(60000mW),0,0,0,N/A,N/A,P0,61
