DateTime,Fan1Speed,Fan2Speed,CPU Local Temp,GPU Local Temp,CPU Sensor Temp,GPU Sensor Temp,ChargeIC Sensor Temp,Environment Sensor Temp,SSD Sensor Temp,RAM Sensor Temp,PCH Local Temp,PCH Sensor Temp,VRAM Sensor Temp,FBVDDQ Sensor Temp,LidStatus,AdapterH,AdapterL,ThermalMode,PsysH,PsysL
4/17/2024 6:54:07 PM,51,52,68,75,59,55,53,30,64,0,69,0,56,58,14,1,74,3,0,210
4/17/2024 6:54:08 PM,51,52,67,75,59,55,54,30,64,0,70,0,56,58,14,1,74,3,0,190
4/17/2024 6:54:10 PM,51,52,67,75,59,56,54,30,64,0,70,0,56,58,14,1,74,3,0,207
4/17/2024 6:54:12 PM,51,52,68,76,59,56,54,30,64,0,68,0,56,58,14,1,74,3,0,226
4/17/2024 6:54:13 PM,51,52,68,76,59,56,54,30,64,0,70,0,57,58,14,1,74,3,0,208
4/17/2024 6:54:15 PM,51,52,67,76,59,56,54,30,64,0,67,0,57,58,14,1,74,3,0,206
4/17/2024 6:54:16 PM,51,52,67,76,60,56,54,30,65,0,70,0,57,58,14,1,74,3,0,213
4/17/2024 6:54:18 PM,51,52,68,76,60,56,55,30,65,0,70,0,57,58,14,1,74,3,0,217
4/17/2024 6:54:20 PM,51,52,67,75,60,56,55,30,65,0,70,0,57,59,14,1,74,3,0,221
4/17/2024 6:54:21 PM,51,52,67,76,60,56,55,30,65,0,68,0,57,59,14,1,74,3,0,222
4/17/2024 6:54:23 PM,51,52,67,76,60,56,55,30,65,0,68,0,57,59,14,1,74,3,0,227
4/17/2024 6:54:24 PM,51,52,67,76,60,56,55,31,65,0,70,0,57,59,14,1,74,3,0,222
4/17/2024 6:54:26 PM,51,52,68,76,60,56,55,31,65,0,70,0,57,59,14,1,74,3,0,220
4/17/2024 6:54:27 PM,51,52,67,76,60,56,55,30,65,0,68,0,57,59,14,1,74,3,0,223
4/17/2024 6:54:29 PM,51,52,67,76,60,56,56,30,65,0,69,0,57,59,14,1,74,3,0,211
4/17/2024 6:54:31 PM,51,52,68,76,60,56,56,30,65,0,71,0,57,59,14,1,74,3,0,225
4/17/2024 6:54:32 PM,51,52,67,76,60,56,56,30,65,0,71,0,57,59,14,1,74,3,0,210
4/17/2024 6:54:34 PM,51,52,68,76,60,56,56,31,65,0,68,0,57,59,14,1,74,3,0,220
4/17/2024 6:54:35 PM,51,52,67,77,60,56,56,31,66,0,68,0,57,59,14,1,74,3,0,221
4/17/2024 6:54:37 PM,51,52,67,77,60,57,56,31,66,0,71,0,57,59,14,1,74,3,0,223
4/17/2024 6:54:39 PM,51,52,67,77,60,57,56,31,66,0,69,0,57,60,14,1,74,3,0,218
4/17/2024 6:54:40 PM,51,52,67,76,60,57,56,31,66,0,69,0,57,60,14,1,74,3,0,224
4/17/2024 6:54:42 PM,51,52,68,77,60,57,56,31,66,0,69,0,57,60,14,1,74,3,0,208
4/17/2024 6:54:43 PM,51,52,67,77,60,57,57,31,66,0,69,0,57,60,14,1,74,3,0,156
4/17/2024 6:54:45 PM,51,52,67,77,60,57,57,31,66,0,71,0,57,60,14,1,74,3,0,223
4/17/2024 6:54:46 PM,51,52,67,76,61,57,57,31,66,0,69,0,58,60,14,1,74,3,0,213
4/17/2024 6:54:48 PM,51,52,68,77,61,57,57,31,66,0,69,0,58,60,14,1,74,3,0,221
4/17/2024 6:54:50 PM,51,52,67,76,60,57,57,31,66,0,69,0,58,60,14,1,74,3,0,217
4/17/2024 6:54:51 PM,51,52,68,77,61,57,57,31,66,0,71,0,58,60,14,1,74,3,0,212
4/17/2024 6:54:53 PM,51,52,68,77,60,57,57,31,66,0,71,0,58,60,14,1,74,3,0,215
4/17/2024 6:54:54 PM,51,52,68,78,60,57,57,31,66,0,71,0,58,60,14,1,74,3,0,131
4/17/2024 6:54:56 PM,51,52,68,77,61,57,57,31,67,0,70,0,58,60,14,1,74,3,0,220
4/17/2024 6:54:58 PM,51,52,68,77,61,57,57,31,67,0,69,0,58,60,14,1,74,3,0,211
4/17/2024 6:54:59 PM,51,52,68,77,61,57,58,31,67,0,71,0,58,60,14,1,74,3,0,218
4/17/2024 6:55:01 PM,51,52,68,77,61,57,58,31,67,0,71,0,58,60,14,1,74,3,0,223
4/17/2024 6:55:02 PM,51,52,68,77,61,57,58,31,67,0,71,0,58,60,14,1,74,3,0,211
4/17/2024 6:55:04 PM,51,52,68,77,61,57,58,31,67,0,72,0,58,60,14,1,74,3,0,213
4/17/2024 6:55:05 PM,51,52,68,77,61,57,58,31,67,0,70,0,58,61,14,1,74,3,0,210
4/17/2024 6:55:07 PM,51,52,68,77,61,57,58,31,67,0,71,0,58,61,14,1,74,3,0,226
4/17/2024 6:55:09 PM,51,52,68,77,61,57,58,31,67,0,69,0,58,61,14,1,74,3,0,211
4/17/2024 6:55:10 PM,51,52,68,77,61,57,58,31,67,0,69,0,58,61,14,1,74,3,0,194
4/17/2024 6:55:12 PM,51,52,68,78,61,57,58,31,67,0,70,0,58,61,14,1,74,3,0,225
4/17/2024 6:55:13 PM,51,52,68,77,61,57,58,31,67,0,71,0,58,61,14,1,74,3,0,224
4/17/2024 6:55:15 PM,51,52,68,77,61,57,58,31,67,0,71,0,58,61,14,1,74,3,0,211
4/17/2024 6:55:17 PM,51,52,68,77,61,57,58,31,67,0,70,0,58,61,14,1,74,3,0,220
4/17/2024 6:55:18 PM,51,52,68,78,61,57,59,31,67,0,70,0,58,61,14,1,74,3,0,220
4/17/2024 6:55:20 PM,51,52,68,77,61,57,59,31,67,0,73,0,58,61,14,1,74,3,0,212
4/17/2024 6:55:21 PM,51,52,68,78,61,58,59,31,67,0,70,0,58,61,14,1,74,3,0,193
4/17/2024 6:55:23 PM,51,52,68,78,61,58,59,31,67,0,70,0,58,61,14,1,74,3,0,213
4/17/2024 6:55:24 PM,51,52,68,77,61,58,59,32,67,0,70,0,58,61,14,1,74,3,0,218
4/17/2024 6:55:26 PM,51,52,68,78,61,58,59,31,67,0,70,0,58,61,14,1,74,3,0,221
4/17/2024 6:55:28 PM,51,52,68,78,61,58,59,31,68,0,72,0,59,61,14,1,74,3,0,226
